#,TITRE,CODE,MILESIME,PAYS,VILLE,LIEU,ADRESSE,Mode de vente,TYPE DE LIEU,COMMENTAIRE,PRIX INDICATIF (€),DATE,IMAGE,LATITUDE,LONGITUDE
UEBU_2025-6,TOUR EIFFEL,UEBU,2025-6,France,PARIS,Tour Eiffel,"Av. Gustave Eiffel, 75007 Paris",Libre service,Monument,Disponible au RDC après la sécurité - Pas de billet obligatoire,,19/07/2025,,48.857298,2.302035
UEAS_2025-2,OPÉRA GARNIER,UEAS,2025-2,France,PARIS,Opéra Garnier,"Pl. de l'Opéra, 75009 Paris",Distributeur CB,Monument,"Disponible à la boutique souvenir, entrée libre.",,19/07/2025,,48.875676,2.343131
UEAE_2024-7,TOUR MONTPARNASSE,UEAE,2024-7,France,PARIS,Tour Montparnasse - La boutique de souvenirs,"33 Av. du Maine, 75015 Paris",Libre service,Monument,La boutique se situe en haut de la tour - Pas de ticket ou de reservation obligatoire.,,19/07/2025,,48.842878,2.295042
UEAE_2025-6,PARIS MONTPARNASSE,UEAE,2025-6,France,PARIS,Tour Montparnasse - La boutique de souvenirs,"33 Av. du Maine, 75015 Paris",Libre service,Monument,La boutique se situe en haut de la tour - Pas de ticket ou de reservation obligatoire.,,19/07/2025,,48.842878,2.295042
UELF_2024-1,MUSEE NATIONAL DE LA MARINE,UELF,2024-1,France,PARIS,Musée National de la Marine - Boutique,"17 Pl. du Trocadéro et du 11 Novembre, 75116 Paris",Libre service,Monument,"Boutique au fond du musée, accessible en entrée libre.",,19/07/2025,,48.862207,2.287343
UESD_2025-1,BALLON GENERALI PARIS,UESD,2025-1,France,PARIS,Parc André Citroën,"2 Rue Cauchy, 75015 Paris",Libre service,Autre,,,,,48.842878,2.295042
UEML_2025-4,MUSEE GREVIN - PARIS,UEML,2025-4,France,PARIS,Musée Grévin,"10 Bd Montmartre, 75009 Paris",Libre service,Musée,"Boutique du musée, accessible via le Passage Jouffroy.",,19/07/2025,,48.875676,2.343131
UEBR_2024-9,PARC ZOOLOGIQUE DE PARIS,UEBR,2024-9,France,PARIS,Parc zoologique de Paris,"Av. Daumesnil, 75012 Paris",,Autre,,,,,48.849741,2.376987
UEAV_2025-7,MUSEE DE L'ARMEE - PARIS,UEAV,2025-7,France,PARIS,Hôtel National des Invalides,"129 Rue de Grenelle, 75007 Paris",Distributeur espèces,Monument,Distributeur automatique dans la billeterie - Pas de ticket obligatoire.,,,,48.857298,2.302035
UEAV_2025-1,NAPOLÉON 1ER,UEAV,2025-1,France,PARIS,Dôme des invalides,"129 Rue de Grenelle, 75007 Paris",Distributeur espèces,Monument,,,,,48.857298,2.302035
