#,AVAILABILITY,POSTAL_CODE,CODE,YEAR,CITY,COUNTRY,TITLE,INFO_LINK
AEAA_2019-1,FALSE,IN-DL,AEAA,2019-1,NEW DELHI,Inde,INDIA - MAHATMA GANDHI 150TH ANNIVERSARY1869 - 2019 PROMISE TO MOTHER 1888,https://www.billets-touristiques.com/billet-1181
AEAA_2019-2,FALSE,IN-DL,AEAA,2019-2,NEW DELHI,Inde,INDIA - MAHATMA GANDHI 150TH ANNIVERSARY1869 - 2019 PIETERMARITZBURG 1893,https://www.billets-touristiques.com/billet-1182
AEAA_2019-3,FALSE,IN-DL,AEAA,2019-3,NEW DELHI,Inde,INDIA - MAHATMA GANDHI 150TH ANNIVERSARY1869 - 2019 TALE OF THE TURBAN 1893,https://www.billets-touristiques.com/billet-1259
AEAA_2020-10,TRUE,IN-DL,AEAA,2020-10,NEW-DEHLI,Inde,INDIA - MAHATMA GANDHI 150th ANNIVERSARY1869-2019 TWO FROM ONE 1947,https://www.billets-touristiques.com/billet-1706
AEAA_2020-11,TRUE,IN-DL,AEAA,2020-11,NEW-DEHLI,Inde,INDIA - MAHATMA GANDHI 150th ANNIVERSARY1869-2019 INDEPENDENCE 1947,https://www.billets-touristiques.com/billet-1707
AEAA_2020-12,TRUE,IN-DL,AEAA,2020-12,NEW-DEHLI,Inde,INDIA - MAHATMA GANDHI 150th ANNIVERSARY1869-2019 END OF A GREAT SOUL 1948,https://www.billets-touristiques.com/billet-1708
AEAA_2020-4,TRUE,IN-DL,AEAA,2020-4,NEW-DEHLI,Inde,INDIA - MAHATMA GANDHI 150th ANNIVERSARY1869-2019 KHADI MOVEMENT 1918,https://www.billets-touristiques.com/billet-1700
AEAA_2020-5,TRUE,IN-DL,AEAA,2020-5,NEW-DEHLI,Inde,INDIA - MAHATMA GANDHI 150th ANNIVERSARY1869-2019 TOGETHER WE STAND 1919,https://www.billets-touristiques.com/billet-1701
AEAA_2020-6,TRUE,IN-DL,AEAA,2020-6,NEW-DEHLI,Inde,INDIA - MAHATMA GANDHI 150th ANNIVERSARY1869-2019 NON COOPERATION MOVEMENT 1920,https://www.billets-touristiques.com/billet-1702
AEAA_2020-7,TRUE,IN-DL,AEAA,2020-7,NEW-DEHLI,Inde,INDIA - MAHATMA GANDHI 150th ANNIVERSARY1869-2019 SALT MARCH 1930,https://www.billets-touristiques.com/billet-1703
AEAA_2020-8,TRUE,IN-DL,AEAA,2020-8,NEW-DEHLI,Inde,INDIA - MAHATMA GANDHI 150th ANNIVERSARY1869-2019 ROUND TABLE CONFERENCE 1930,https://www.billets-touristiques.com/billet-1704
AEAA_2020-9,TRUE,IN-DL,AEAA,2020-9,NEW-DEHLI,Inde,INDIA - MAHATMA GANDHI 150th ANNIVERSARY1869-2019 QUIT INDIA MOVEMENT 1942,https://www.billets-touristiques.com/billet-1705
AEAB_2019-1,TRUE,IN-UP,AEAB,2019-1,AGRA,Inde,"INDIA - TAJ MAHALEMPEROR SHAH JAHAN, EMPRESS MUMTAZ MAHAL",https://www.billets-touristiques.com/billet-1377
AGAA_2020-1,TRUE,AR-B,AGAA,2020-1,BUENOS AIRES,Argentine,#DIEGO 1960-2020,https://www.billets-touristiques.com/billet-2123
AGAA_2021-2,TRUE,AR-B,AGAA,2021-2,BUENOS AIRES,Argentine,#DIEGO 1960-2020,https://www.billets-touristiques.com/billet-2439
AGAB_2022-1,TRUE,AR-B,AGAB,2022-1,BUENOS AIRES,Argentine,PAPA FRANCISCUS,https://www.billets-touristiques.com/billet-3141
AGAB_2025-2,TRUE,AR-B,AGAB,2025-2,BUENOS AIRES,Argentine,PAPA FRANCISCUS,https://www.billets-touristiques.com/billet-4543
AMAC_2019-1,TRUE,AM-ER,AMAC,2019-1,EREVAN,Arménie,MONUMENT TSITSERNAKABERD YEREVAN,https://www.billets-touristiques.com/billet-1659
ARAA_2019-1,TRUE,AE-AZ,ARAA,2019-1,ABOU DABI,Émirats arabes unis,UNITED ARAB EMIRATESYEAR OF TOLERANCE 2019,https://www.billets-touristiques.com/billet-1274
ARAB_2021-1,TRUE,AE-AZ,ARAB,2021-1,ABOU DABI,Émirats arabes unis,UNITED ARAB EMIRATES50 GOLDEN JUBILEE,https://www.billets-touristiques.com/billet-2162
ARAB_2022-2,TRUE,AE-AZ,ARAB,2022-2,ABOU DABI,Émirats arabes unis,UNITED ARAB EMIRATES - Ø§ÙØ¥ÙØ§Ø±,https://www.billets-touristiques.com/billet-2876
ARAC_2022-3,TRUE,AE-DU,ARAC,2022-3,DUBAI,Émirats arabes unis,ARABIAN GULF STATES,https://www.billets-touristiques.com/billet-3324
AUAA_2019-1,TRUE,AU-NSW,AUAA,2019-1,SYDNEY,Australie,SYDNEYHARBOUR BRIDGE AND OPERA HOUSE,https://www.billets-touristiques.com/billet-1253
AUAB_2021-1,TRUE,AU-NT,AUAB,2021-1,--,Australie,ABORIGINAL AUSTRALIANSTRIBES OF THE WORLD,https://www.billets-touristiques.com/billet-2488
BRAA_2019-1,TRUE,BR-RJ,BRAA,2019-1,RIO DE JANEIRO,Brésil,CRISTO REDENTOR - RIO DE JANEIRO,https://www.billets-touristiques.com/billet-1578
BRAE_2024-1,TRUE,BR-SP,BRAE,2024-1,SANTOS,Brésil,O MELHOR DO FUTEBOLO REI 1958 1962 1970,https://www.billets-touristiques.com/billet-4389
